folder,reference_views,mean_ssim,max1_id,max1_ssim,min1_id,min1_ssim,avg1_id,avg1_ssim,max2_id,max2_ssim,min2_id,min2_ssim,avg2_id,avg2_ssim,max3_id,max3_ssim,min3_id,min3_ssim,avg3_id,avg3_ssim,max4_id,max4_ssim,min4_id,min4_ssim,avg4_id,avg4_ssim,max5_id,max5_ssim,min5_id,min5_ssim,avg5_id,avg5_ssim
LVSM-VAE fine-tuned on 4-references,2,0.6125893354420122,ce8bc5948d0dd3f3,0.9280251860618592,ace3ec0961ae36c2,0.1165081039071083,dabd7fc58d2ae00b,0.6125916838645935,9a7a1c53e2cd42e0,0.9258084893226624,b27f1bede464ab39,0.123806394636631,f5257718f0aae70d,0.6125022768974304,d2cf8fe86ae2e719,0.9245187640190125,c4a26c35749d41bd,0.1350401192903518,275e846ba5d0e9ad,0.6127617359161377,a25b501af9dd2333,0.9221451878547668,4befac16ffdf8489,0.1373083591461181,e941a7fdae79934d,0.6127797961235046,80477e7a2e003419,0.919005811214447,c9c30723d7c54793,0.1391465067863464,65e056c6fbfc795a,0.612809419631958
LVSM-VAE trained on 2-references,2,0.6295694003212836,ce8bc5948d0dd3f3,0.9330298900604248,c4a26c35749d41bd,0.1207685843110084,81656a7e1b5e50f8,0.6295390129089355,d2cf8fe86ae2e719,0.9290659427642822,ace3ec0961ae36c2,0.1329000145196914,464d97e527dd5f8a,0.6295091509819031,9a7a1c53e2cd42e0,0.9264188408851624,c9c30723d7c54793,0.1389044672250747,1c36b2b8144d29ec,0.6295062899589539,a25b501af9dd2333,0.925177812576294,8108a9c5100498bd,0.1452651768922805,d69dc6c3720a2b8b,0.6296391487121582,96272eb10c31a4df,0.9247925877571106,6e6ccb9822ed013e,0.1458369642496109,0e5b9dcdb891b82b,0.6294958591461182
LVSM-VAE fine-tuned on 4-references,4,0.6753038299544453,89eb71213e160ce0,0.9394218921661376,4befac16ffdf8489,0.1171795204281807,171fdcc554d303d8,0.6754024028778076,9dd571bfa9a0ef35,0.9388695359230042,ace3ec0961ae36c2,0.1585773229598999,cea4c4ce18a477a1,0.6754555702209473,ce8bc5948d0dd3f3,0.9364335536956788,58a650240fdc5cc6,0.1809313744306564,fb9ec18b2fc81444,0.6751461625099182,8a3e6ca08cb6fe4e,0.9277072548866272,8108a9c5100498bd,0.1861823797225952,a0aae7f3749483b8,0.6754753589630127,c9a521694c193f85,0.925630271434784,fb029e022b479ef4,0.1915117055177688,8b7dc2877971a64e,0.6755579113960266
LVSM-VAE trained on 2-references,4,0.5907427528762025,ce8bc5948d0dd3f3,0.9421297907829284,6e6ccb9822ed013e,0.095725379884243,dde677478d8ca018,0.5907349586486816,9dd571bfa9a0ef35,0.9339974522590636,8432b7a848f9c5dc,0.0978856906294822,a89346fe9896f072,0.5907673835754395,c9a521694c193f85,0.9224071502685548,c66c4aee69caba12,0.0993856862187385,377769942e6a748d,0.5908367037773132,9fbe27739f6b6e81,0.9186331629753112,6ff8a81d324f6019,0.1013332083821296,2e4cac06a4f92261,0.590846836566925,abf2836f83d04375,0.9180423617362976,4befac16ffdf8489,0.1025901436805725,23a6c9168abdb38e,0.5908992290496826
LVSM-VAE fine-tuned on 4-references,8,0.6933165479096249,9dd571bfa9a0ef35,0.9457011222839355,4befac16ffdf8489,0.1481357961893081,f96049f4355544bd,0.6933062672615051,ce8bc5948d0dd3f3,0.9307076930999756,c9c30723d7c54793,0.1483770459890365,a1a21aee1df9fa71,0.6934170126914978,9fbe27739f6b6e81,0.9297552108764648,fb029e022b479ef4,0.1504139751195907,ef1457995bca9afd,0.6934270262718201,ff3e63d106ce4634,0.9282202124595642,389df03f3c2d7291,0.1855805665254593,c24b14dbd06b6f12,0.6934899687767029,9a7a1c53e2cd42e0,0.927916705608368,b27f1bede464ab39,0.1865283250808715,be37967141e3767d,0.6934924125671387
LVSM-VAE trained on 2-references,8,0.5232749115359805,ce8bc5948d0dd3f3,0.934086263179779,4befac16ffdf8489,0.0681183263659477,fb7719fc97e9f6e8,0.5232687592506409,9dd571bfa9a0ef35,0.9321820735931396,2007d4829b187feb,0.0779969170689582,f998e4a527576a1a,0.5231133103370667,abf2836f83d04375,0.9159510135650636,72ca9b60719e5789,0.0793898180127143,7af82a8477c13d57,0.5230513215065002,9fbe27739f6b6e81,0.9069378972053528,8a3d65fc359279df,0.0828487798571586,7634487972104d11,0.5228884220123291,a25b501af9dd2333,0.9049220681190492,8432b7a848f9c5dc,0.0839073583483696,7f6e72805e11ead9,0.5237228870391846
LVSM-VAE fine-tuned on 4-references,16,0.6683839428809661,9dd571bfa9a0ef35,0.9406954646110536,4befac16ffdf8489,0.1010998785495758,9d8ca3b8ce050769,0.6683869957923889,9a7a1c53e2cd42e0,0.9277028441429138,c66c4aee69caba12,0.1283790916204452,1fb9b8bc4699fbca,0.6683800220489502,ce8bc5948d0dd3f3,0.9250187277793884,fb029e022b479ef4,0.1285824179649353,fa14b62a46ffd7b7,0.6684020161628723,c9a521694c193f85,0.9222652316093444,b27f1bede464ab39,0.1428662985563278,fd10e589be0ad04f,0.6683575510978699,abf2836f83d04375,0.9207982420921326,c551b85ce38402a8,0.1538472026586532,daba92e841a70468,0.6683463454246521
LVSM-VAE trained on 2-references,16,0.48004722946563294,ce8bc5948d0dd3f3,0.9264113306999208,4befac16ffdf8489,0.0620096325874328,7144a5e59d5f05c7,0.480059266090393,9dd571bfa9a0ef35,0.9206222891807556,8432b7a848f9c5dc,0.0707783624529838,ac96cadf3d4e6d26,0.4800268113613128,abf2836f83d04375,0.9092476963996888,6e6ccb9822ed013e,0.0709134563803672,4d66f43cb4ee5fe8,0.4800027310848236,db2712a5c82c6590,0.892885684967041,72ca9b60719e5789,0.0721087083220481,748e87e6b0e62a72,0.4801816046237945,80477e7a2e003419,0.8912169337272644,2007d4829b187feb,0.0749308466911315,ca4e2c82bb426e95,0.4801868200302124
